1001;Filete de Res;0;0;0;200
1002;Lomito de Res;0;0;0;185
1003;Chicken Fingers;1;1;0;160
1004;Chicken Fingers Infantil;1;1;0;110
1005;Filete de Pollo a la BBQ;1;0;0;160
1006;Filete de Pollo a la Plancha;1;0;0;160
1007;Filete de Pollo al Ajillo;1;0;0;160
1008;Filete de Pollo Empanizado;1;0;0;160
1009;Chuleta de Cerdo a la BBQ;2;0;0;160
1010;Chuleta de Cerdo a la Plancha;2;0;0;160
1011;Costilla Baby Back a la BBQ;2;0;0;195
1012;Costilla de Cerdo a la BBQ;2;0;0;175
1013;Orden de Chorizos;2;0;0;160
1014;Camarones a la Plancha;3;0;0;195
1015;Camarones al Ajillo;3;0;0;195
1016;Camarones Empanizados;3;0;0;195
1017;Filete de Pescado a la Plancha;4;0;0;175
1018;Filete de Pescado al Ajillo;4;0;0;175
1019;Filete de Pescado Empanizado;4;0;0;175
1020;Deditos de Pescado;4;1;0;175
1021;Mixto 2 Carnes;5;2;0;295
1022;Mixto 3 Carnes;5;3;0;375
1023;Mixto Mar y Tierra;5;4;0;325
1024;Baleada con Chorizo;6;5;1;45
1025;Baleada con Huevo;6;5;1;32
1026;Baleada con Pollo;6;5;1;45
1027;Baleada Sencilla;6;5;1;25
1028;Burrita;6;5;2;35
1029;Cena;6;6;0;100
1030;Cena con Chuleta;6;6;0;170
1031;Cena con Costilla;6;6;0;185
1032;Cena con Pollo;6;6;0;170
1033;Cena con Res;6;6;0;210
1034;Cena Infantil;6;6;0;65
1035;Enchilada de Pollo;6;5;2;37.5
1036;Enchilada de Res;6;5;2;37.5
1037;Gringa de Pollo;6;5;1;70
1038;Gringa de Chorizo;6;5;1;70
1039;Gringa Mixta;6;5;1;70
1040;Nacho con Frijoles y Quesillo;6;5;0;100
1041;Nacho con Pollo;6;5;0;135
1042;Nacho con Todo;6;5;0;160
1043;Pupusa de Loroco;6;5;1;37.5
1044;Pupusa de Quesillo;6;5;1;32.5
1045;Pupusa Mixta;6;5;1;37.5
1046;Taco Flauta de Pollo;6;5;2;50
1047;Taco Flauta de Res;6;5;2;55
1048;Tajadas con Carne Molida;6;5;0;120
1049;Tajadas con Pollo;6;5;0;120
1050;Tortilla con Quesillo;6;5;1;38
1051;Aderezo;7;7;2;20
1052;Aguacate;7;7;2;8
1053;Ajillo;7;7;2;10
1054;Chimichurri;7;7;2;20
1055;Chimol;7;7;2;10
1056;Chorizo;7;7;0;35
1057;Encurtido;7;7;2;10
1058;Mantequilla;7;7;2;10
1059;Orden de Huevo;7;7;2;10
1060;Orden de Papas Fritas;7;7;0;35
1061;Orden de Platano Maduro;7;8;2;20
1062;Orden de Tortilla de Maiz;7;7;0;8
1063;Orden Frijoles Fritos;7;7;2;20
1064;Orden Rice and Beans;7;7;2;20
1065;Orden Tajadas de Guineo Verde;7;7;0;20
1066;Orden Tajadas de Platano Verde;7;7;0;20
1067;Platano para Baleada;7;7;2;5
1068;Queso;7;7;2;10
1069;Salsa;7;7;2;10
1070;Tortilla de Harina;7;7;1;10
1071;Avena;8;9;3;50
1072;Banano;8;10;3;60
1073;Cacahuate;8;10;3;60
1074;Cereal;8;10;3;60
1075;Fresa;8;9;3;60
1076;Granola;8;10;3;60
1077;Horchata;8;11;3;50
1078;Limonada;8;12;3;50
1079;Mango;8;9;3;50
1080;Melon;8;9;3;50
1081;Naranja Agria;8;12;3;60
1082;Naranja Dulce;8;12;3;50
1083;Oreo;8;10;3;60
1084;Papaya;8;9;3;50
1085;Pina;8;9;3;50
1086;Sandia;8;9;3;50
1087;Toronja;8;12;3;50
1088;Agua;8;13;3;20
1089;Banana;8;13;3;25
1090;Canda Dry;8;13;3;25
1091;Coca Cola;8;13;3;25
1092;Copan Dry;8;13;3;25
1093;Mirinda;8;13;3;25
1094;Pepis;8;13;3;25
1095;Sprite;8;13;3;25
1096;Te Frio;8;13;3;30
1097;Uva;8;13;3;25
